fecha_hora,via,modelo,exp,modo,tipo,ticker,lookback,config_json,semillas,n_train,n_val,n_eval,val_f1_ens,val_f1_mean,val_f1_std,eval_f1_ens,eval_f1_mean,eval_f1_std,eval_f1_buy,eval_f1_hold,eval_f1_sell,eval_sharpe,eval_win_rate,eval_profit_factor,eval_max_dd,eval_signal_buy,eval_signal_hold,eval_signal_sell,epocas,segundos,es_evaluacion_en_test,notas
2026-08-14 20:57:28,V0-replicacion,LSTM,A,final,global,GLOBAL,20,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",17472,1624,1596,0.3251,0.3254,0.03,0.3451,0.3435,0.0264,0.3936,0.531,0.1107,-0.0239,0.5118,0.9939,-0.5425,46.2,46.7,7.1,"[1, 4, 1]",36.4,True,replicacion de v4
2026-08-14 20:58:13,V0-replicacion,LSTM,A,final,global,GLOBAL,60,"{""lookback"": 60, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",17192,1344,1316,0.3526,0.3193,0.0178,0.3891,0.34,0.0199,0.2739,0.5225,0.3709,0.9645,0.5104,1.2837,-0.3917,14.7,45.4,39.9,"[1, 2, 3]",45.4,True,replicacion de v4
2026-08-14 20:58:35,V0-replicacion,LSTM,B,final,global,GLOBAL,20,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",10423,1624,1596,0.3323,0.3341,0.0213,0.3617,0.3632,0.0243,0.3347,0.563,0.1872,-0.1352,0.4945,0.9637,-0.5569,32.2,54.8,13.0,"[1, 1, 6]",22.2,True,replicacion de v4
2026-08-14 20:59:03,V0-replicacion,LSTM,B,final,global,GLOBAL,60,"{""lookback"": 60, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",10143,1344,1316,0.3657,0.3498,0.0101,0.37,0.3518,0.0119,0.3013,0.5225,0.2861,0.4327,0.4914,1.12,-0.4064,24.0,47.1,28.9,"[2, 3, 1]",27.2,True,replicacion de v4
2026-08-14 20:59:17,V0-replicacion,LSTM,C,final,global,GLOBAL,20,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",6902,1624,1596,0.3707,0.3413,0.0141,0.3702,0.3516,0.0211,0.3565,0.4735,0.2806,0.1627,0.4959,1.039,-0.6315,34.5,38.3,27.1,"[1, 2, 1]",14.2,True,replicacion de v4
2026-08-14 20:59:35,V0-replicacion,LSTM,C,final,global,GLOBAL,60,"{""lookback"": 60, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",6622,1344,1316,0.3661,0.2746,0.0457,0.3517,0.2842,0.047,0.3397,0.4329,0.2826,0.3431,0.4856,1.0851,-0.548,28.0,36.5,35.5,"[2, 1, 3]",18.5,True,replicacion de v4
2026-08-14 21:00:13,V0-replicacion,CNN,A,final,global,GLOBAL,20,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",17472,1624,1596,0.2832,0.2918,0.0104,0.3236,0.3228,0.0084,0.4,0.5542,0.0165,0.1608,0.5162,1.0438,-0.4718,47.2,51.6,1.3,"[1, 1, 4]",37.1,True,replicacion de v4
2026-08-14 21:01:00,V0-replicacion,CNN,A,final,global,GLOBAL,60,"{""lookback"": 60, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",17192,1344,1316,0.3425,0.3211,0.0254,0.3606,0.3383,0.0209,0.3293,0.5318,0.2206,0.0246,0.4673,1.0068,-0.3652,23.3,51.2,25.5,"[7, 4, 7]",47.2,True,replicacion de v4
2026-08-14 21:01:21,V0-replicacion,CNN,B,final,global,GLOBAL,20,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",10423,1624,1596,0.3235,0.3198,0.0055,0.3434,0.3446,0.0126,0.4023,0.5153,0.1127,0.1213,0.5102,1.0309,-0.4343,48.9,44.6,6.5,"[1, 1, 1]",21.3,True,replicacion de v4
2026-08-14 21:01:47,V0-replicacion,CNN,B,final,global,GLOBAL,60,"{""lookback"": 60, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",10143,1344,1316,0.355,0.2664,0.0768,0.3344,0.3086,0.0724,0.3805,0.4077,0.2152,0.4729,0.5416,1.1207,-0.4408,50.5,33.4,16.2,"[3, 2, 5]",25.9,True,replicacion de v4
